x	y
-6.28318530717959	1
-6.25800219973598	1
-6.23281909229238	1
-6.20763598484877	1
-6.18245287740516	1
-6.15726976996156	1
-6.13208666251795	1
-6.10690355507435	1
-6.08172044763074	1
-6.05653734018714	1
-6.03135423274353	1
-6.00617112529993	1
-5.98098801785632	1
-5.95580491041271	1
-5.93062180296911	1
-5.9054386955255	1
-5.8802555880819	1
-5.85507248063829	1
-5.82988937319469	1
-5.80470626575108	1
-5.77952315830748	1
-5.75434005086387	1
-5.72915694342026	1
-5.70397383597666	1
-5.67879072853305	1
-5.65360762108945	1
-5.62842451364584	1
-5.60324140620224	1
-5.57805829875863	1
-5.55287519131503	1
-5.52769208387142	1
-5.50250897642781	1
-5.47732586898421	1
-5.4521427615406	1
-5.426959654097	1
-5.40177654665339	1
-5.37659343920979	1
-5.35141033176618	1
-5.32622722432258	1
-5.30104411687897	1
-5.27586100943536	1
-5.25067790199176	1
-5.22549479454815	1
-5.20031168710455	1
-5.17512857966094	1
-5.14994547221734	1
-5.12476236477373	1
-5.09957925733013	1
-5.07439614988652	1
-5.04921304244291	1
-5.02402993499931	1
-4.9988468275557	1
-4.9736637201121	1
-4.94848061266849	1
-4.92329750522489	1
-4.89811439778128	1
-4.87293129033768	1
-4.84774818289407	1
-4.82256507545047	1
-4.79738196800686	1
-4.77219886056325	1
-4.74701575311965	1
-4.72183264567604	1
-4.69664953823244	1
-4.67146643078883	1
-4.64628332334523	1
-4.62110021590162	1
-4.59591710845801	1
-4.57073400101441	1
-4.5455508935708	1
-4.5203677861272	1
-4.49518467868359	1
-4.47000157123999	1
-4.44481846379638	1
-4.41963535635278	1
-4.39445224890917	1
-4.36926914146556	1
-4.34408603402196	1
-4.31890292657835	1
-4.29371981913475	1
-4.26853671169114	1
-4.24335360424754	1
-4.21817049680393	1
-4.19298738936033	1
-4.16780428191672	1
-4.14262117447311	1
-4.11743806702951	1
-4.0922549595859	1
-4.0670718521423	1
-4.04188874469869	1
-4.01670563725509	1
-3.99152252981148	1
-3.96633942236788	1
-3.94115631492427	1
-3.91597320748066	1
-3.89079010003706	1
-3.86560699259345	1
-3.84042388514985	1
-3.81524077770624	1
-3.79005767026264	1
-3.76487456281903	1
-3.73969145537543	1
-3.71450834793182	1
-3.68932524048821	1
-3.66414213304461	1
-3.638959025601	1
-3.6137759181574	1
-3.58859281071379	1
-3.56340970327019	1
-3.53822659582658	1
-3.51304348838298	1
-3.48786038093937	1
-3.46267727349576	1
